iter	RMSE
399	2218590.615
400	2218318.584
401	2217957.216
402	2217922.229
403	2217866.395
404	2217623.182
405	2217164.339
406	2217047.575
407	2216632.017
408	2216335.243
409	2215966.527
410	2215420.083
411	2215021.467
412	2214138.128
413	2213765.797
414	2213620.45
415	2213191.486
416	2212956.761
417	2212920.859
418	2212408.232
419	2212174.667
420	2212066.502
421	2211640.146
422	2211262.859
423	2210982.159
424	2210579.01
425	2210205.932
426	2209774.29
427	2209389.336
428	2208927.153
429	2208669.242
430	2208318.186
431	2207964.391
432	2207885.008
433	2207602.894
434	2207143.359
435	2206846.821
436	2206455.854
437	2206037.791
438	2205465.999
439	2205078.159
440	2204380.434
441	2204090.942
442	2203692.522
443	2203042.809
444	2202727.701
445	2202449.257
446	2202030.778
447	2201765.041
448	2201426.849
449	2200995.86
450	2200959.958
451	2200904.403
452	2200640.541
453	2200262.103
454	2200188.467
455	2199845.831
456	2199364.817
457	2199016.368
458	2198400.378
459	2198300.627
460	2197962.604
461	2197673.208
462	2197471.766
463	2197141.649
464	2196735.255
465	2196382.255
466	2195977.395
467	2195692.483
468	2195407.99
469	2195088.317
470	2194847.777
471	2194523.921
472	2194211.167
473	2193852.423
474	2193751.669
475	2193533.712
476	2193195.239
477	2192891.272
478	2192736.248
479	2192377.804
480	2192106.174
481	2191812.617
482	2191399.499
483	2191169.323
484	2191036.067
485	2190789.328
486	2190391.406
487	2190161.296
488	2190061.708
489	2189695.899
490	2189350.229
491	2188874.341
492	2188463.704
493	2188256.702
494	2187923.768
495	2187641.953
496	2187238.108
497	2186676.902
498	2186211.435
499	2185874.443
500	2185532.05
501	2185231.243
502	2184709.215
503	2184489.86
504	2184173.673
505	2183950.314
506	2183613.594
507	2183197.047
508	2183109.386
509	2182819.901
510	2182527.592
511	2182335.439
512	2182052.353
513	2181674.208
514	2181327.321
515	2180963.559
516	2180649.86
517	2180386.041
518	2180214.84
519	2179900.713
520	2179837.673
521	2179428.497
522	2179135.755
523	2178739.829
524	2178330.057
525	2178165.768
526	2177860.556
527	2177634.923
528	2177436.37
529	2177130.826
530	2176875.805
531	2176596.941
532	2176283.053
533	2175974.533
534	2175698.515
535	2175378.653
536	2175055.73
537	2174754.819
538	2174657.419
539	2174306.834
540	2173908.117
541	2173602.014
542	2173282.674
543	2173134.486
544	2172821.511
545	2172568.759
546	2172324.317
547	2172300.018
548	2172056.947
549	2171750.888
550	2171586.065
551	2171119.824
552	2170876.104
553	2170543.687
554	2170324.04
555	2170065.138
556	2169730.895
557	2169400.894
558	2169268.619
559	2169024.228
560	2168783.182
561	2168614.108
562	2168385.992
563	2168163.846
564	2168107.233
565	2167830.978
566	2167536.376
567	2167305.149
568	2167122.852
569	2166793.555
570	2166537.724
571	2166189.638
572	2165938.259
573	2165823.132
574	2165767.594
575	2165643.814
576	2165377.295
577	2164934.452
578	2164675.998
579	2164626.63
580	2164273.404
581	2163993.294
582	2163776.474
583	2163561.181
584	2163059.55
585	2162722.04
586	2162399.162
587	2162118.428
588	2161698.958
589	2161421.822
590	2161119.131
591	2160728.434
592	2160424.522
593	2159944.537
594	2159824.127
595	2159573.978
596	2159307.046
597	2159043.761
598	2158793.297
599	2158415.553
600	2158143.686
601	2158081.512
602	2157990.961
603	2157694.85
604	2157334.98
605	2157063.815
606	2156854.387
607	2156660.413
608	2156339.729
609	2156202.645
610	2155953.783
611	2155389.373
612	2155125.795
613	2154901.829
614	2154532.814
615	2154289.308
616	2154014.332
617	2153610.719
618	2153217.766
619	2152882.838
620	2152492.177
621	2152225.408
622	2151897.151
623	2151623.83
624	2151348.415
625	2151089.987
626	2151062.966
627	2150735.009
628	2150493.001
629	2150116.929
630	2149764.128
631	2149535.815
632	2149413.119
633	2149112.169
634	2148785.167
635	2148714.966
636	2148697.973
637	2148498.24
638	2148257.759
639	2148015.128
640	2147796.581
641	2147599.794
642	2147513.148
643	2147282.014
644	2146934.73
645	2146492.806
646	2146197.395
647	2145752.765
648	2145479.167
649	2145180.127
650	2144979.185
651	2144626.793
652	2144463.577
653	2144331.405
654	2144013.601
655	2143656.192
656	2143467.067
657	2143372.842
658	2143117.338
659	2142874.668
660	2142727.79
661	2142493.751
662	2142309.496
663	2142026.596
664	2141766.135
665	2141525.434
666	2141205.832
667	2140981.308
668	2140661.549
669	2140341.431
670	2139665.218
671	2139347.789
672	2138916.157
673	2138617.861
674	2138356.601
675	2138034.338
676	2137842.51
677	2137528.391
678	2137239.865
679	2137033.5
680	2136571.656
681	2136300.774
682	2136039.951
683	2135988.797
684	2135721.267
685	2135678.758
686	2135390.278
687	2135052.31
688	2134873.024
689	2134500.053
690	2134177.738
691	2133575.983
692	2133499.926
693	2133231.048
694	2132983.223
695	2132758.241
696	2132622.235
697	2132370.819
698	2132099.681
699	2132002.01
700	2131848.215
701	2131611.834
702	2131318.729
703	2130862.626
704	2130576.624
705	2130407.67
706	2130186.667
707	2129924.576
708	2129798.777
709	2129652.276
710	2129294.119
711	2129192.274
712	2128976.845
713	2128709.162
714	2128542.184
715	2128312.894
716	2128185.936
